| Val Datasets                            | Datset Name                                                                                               | Fail desc                                                                                                                                                                                                                 | model                                                                            | Train dataset                                                                                                                             |
| nfft = 512,<br>0-10kHz, ACC MEMS        | jogarulfop/rollout_2026-09-07_shake4it_bench_5sensors_v3_acc_mems_10kHz_nfft_512_20260907_104906          | \[1,1,1,1,1,  1,1,1,1,1,  1,1,1,1,1,  1,1,1,1,1,         2,2,2,2,2,  2,2,2,2,2,  2,3,2,3,2,  0,2,2,0,2,          3,3,3,3,3, 3,3,3,3,4,   3,4,3,3,3,   3,3,3,3,3,       4,3,4,3,0, 0,4,4,4,4,   0,0,4,4,0,   0,4,4,4,4]    |                                                                                  | from jogarulfop/2026-09-03_shake4it_bench_5sensors_v3_20260903_105200                                                                     |
| nfft = 512,<br>0-10kHz, PZT             | jogarulfop/rollout_2026-09-07_shake4it_bench_5sensors_v3_pastille_pzt_10kHz_nfft_512_20260907_131438      | \[1,1,1,2,1,  2,1,1,1,1,  1,1,1,1,1,  2,2,1,2,1,         2,2,2,2,2,  2,2,2,2,2,  2,3,2,3,2,  0,2,2,0,2,          3,3,3,3,3, 3,3,3,3,4,   3,4,3,3,3,   3,3,3,3,3,       4,3,3,3,3, 4,4,4,4,4,   3,3,3,3,2,   4,3,4,4,4]    |                                                                                  | from jogarulfop/2026-09-03_shake4it_bench_5sensors_v3_20260903_105200                                                                     |
| nfft = 512,<br>0-10kHz, DGF_PASSIF      | jogarulfop/rollout_2026-09-07_shake4it_bench_5sensors_v3_dgf_passif_10kHz_nfft_512_20260907_141249        | \[1,1,1,1,1,  1,1,1,2,0,  1,1,1,0,1,  1,1,1,1,1,         2,3,2,3,3,  0,2,2,3,2,  0,0,2,2,3,  4,2,2,2,2,          3,3,3,2,4, 3,3,3,3,3,   3,3,3,4,3,   3,4,3,3,3,       4,3,3,3,2, 3,4,4,3,4,   4,4,3,0,3,   0,4,4,4,4]    |                                                                                  | from jogarulfop/2026-09-03_shake4it_bench_5sensors_v3_20260903_105200                                                                     |
| nfft = 512,<br>0-10kHz,<br>STRAIN GAUGE | jogarulfop/rollout_2026-09-07_shake4it_bench_5sensors_v3_strain_gauge_10kHz_nfft_512_20260907_113746      | \[3,2,2,2,2,  1,2,1,0,1,  1,1,1,2,3,  1,2,1,3,3,         3,3,2,3,3,  2,3,0,0,2,  2,3,2,3,2,  2,3,3,3,2,          3,2,3,3,3, 3,3,3,3,2,   3,3,3,3,2,   2,3,2,3,3,       4,4,4,4,4, 0,0,0,0,4,   4,4,4,4,4,   4,4,4,4,4]    |                                                                                  | from jogarulfop/2026-09-03_shake4it_bench_5sensors_v3_20260903_105200                                                                     |
|                                         |                                                                                                           |                                                                                                                                                                                                                           |                                                                                  |                                                                                                                                           |

Cheap dqc

| Val Datasets | Datset Name                                                                    | Fail desc                                                                                                                                                                                                             | model | Train dataset                                                         |
| ------------ | ------------------------------------------------------------------------------ | --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- | ----- | --------------------------------------------------------------------- |
| DGF_IEPE     | jogarulfop/rollout_2026-09-10_cheap_shakeit_bench_dgf_iepe_20260910_140939<br> | \[0,1,1,1,1,  1,1,1,1,1,  1,1,1,1,1,  1,1,1,1,1,         2,2,2,2,2,  2,2,2,2,2,  2,2,2,1,2,  2,2,2,2,2,          3,3,3,0,3, 3,3,3,3,3,   3,3,3,2,3,  3,3,3,2,3,       4,4,4,4,4, 4,3,4,4,4,   4,4,4,4,4,   4,4,4,4,4] |       | from jogarulfop/2026-09-03_shake4it_bench_5sensors_v3_20260903_105200 |
| PZT_DISK     | jogarulfop/rollout_2026-09-10_cheap_shakeit_bench_pzt_disk_20260910_160409     | \[2,2,2,1,1,  1,1,2,1,1,  1,2,1,2,1,  2,2,1,1,1,         2,2,0,2,2,  2,2,2,2,2,  2,2,2,1,2,  2,2,2,2,2,          3,3,3,3,3, 3,3,3,3,3,   3,2,3,3,3,  3,3,3,2,2,       4,4,4,4,4, 4,4,4,4,4,   4,4,4,4,3,   4,4,4,4,4] |       | from jogarulfop/2026-09-03_shake4it_bench_5sensors_v3_20260903_105200 |
| ACC_MEMS     | jogarulfop/rollout_2026-09-10_cheap_shakeit_bench_mems_acc_20260910_163759     | \[1,1,1,1,1, 1,1,1,1,1, 1,1,1,1,1, 1,1,1,1,1, 2,2,2,2,2, 0,2,2,2,2, 2,2,2,1,2, 2,2,2,2,2, 2,3,3,3,3, 0,3,3,3,3, 3,3,3,3,3, 3,2,3,3,3, 4,4,4,4,4, 4,3,4,4,4, 4,3,4,4,4, 4,3,4,4,4]                                     |       |                                                                       |
